|          0 <= x <          60;  y_0          =   61.0000 +     0.4583x     0.9833x^2    -1.3917x_3 ; Bezier Curve 
|         90 <= x <         150;  y_1          =   83.0000 +    -0.2583x    -0.9833x^2     1.1917x_3 ; Bezier Curve 
|        180 <= x <         240;  y_2          =   76.0000 +     1.3333x    -1.9667x^2     0.5333x_3 ; Bezier Curve 
|        270 <= x <         330;  y_3          =   83.0000 +     8.5500x   -17.7000x^2     8.2500x_3 ; Bezier Curve 
|        360 <= x <         420;  y_4          =   78.0000 +     5.7917x   -12.7833x^2     6.3417x_3 ; Bezier Curve 
|        450 <= x <         510;  y_5          =   85.0000 +     9.3417x   -18.6833x^2     8.3917x_3 ; Bezier Curve 
|        540 <= x <         600;  y_6          =   61.0000 +    -0.8167x     3.9333x^2    -2.9167x_3 ; Bezier Curve 
|        630 <= x <         690;  y_7          =   66.0000 +    -9.3917x    18.6833x^2    -8.3417x_3 ; Bezier Curve 
|        720 <= x <         780;  y_8          =   85.0000 +    -1.4417x     0.9833x^2     0.5083x_3 ; Bezier Curve 
|        810 <= x <         870;  y_9          =   86.0000 +    -0.1500x     0.0000x^2     0.1500x_3 ; Bezier Curve 
|        900 <= x <         960;  y_10         =   86.0000 +     0.0500x    -0.0000x^2    -0.0500x_3 ; Bezier Curve 
|        990 <= x <        1050;  y_11         =   81.0000 +     7.5750x   -14.7500x^2     6.4250x_3 ; Bezier Curve 
|       1080 <= x <        1140;  y_12         =   65.0000 +    -8.3917x    18.6833x^2    -9.3417x_3 ; Bezier Curve 
|       1170 <= x <        1230;  y_13         =   82.0000 +    -0.5417x     0.9833x^2    -0.3917x_3 ; Bezier Curve 
|       1260 <= x <        1320;  y_14         =   84.0000 +     1.1333x    -1.9667x^2     0.7333x_3 ; Bezier Curve 
|       1350 <= x <        1410;  y_15         =   61.0000 +    -2.8500x     5.9000x^2    -2.7500x_3 ; Bezier Curve 
|       1440 <= x <        1500;  y_16         =   83.0000 +    -1.8667x     3.9333x^2    -1.8667x_3 ; Bezier Curve 
|       1530 <= x <        1590;  y_17         =   80.0000 +    -2.2250x     2.9500x^2    -0.5750x_3 ; Bezier Curve 
|       1620 <= x <        1680;  y_18         =   85.0000 +     9.8333x   -19.6667x^2     8.8333x_3 ; Bezier Curve 
|       1710 <= x <        1770;  y_19         =   84.0000 +     6.9167x   -15.7333x^2     8.0167x_3 ; Bezier Curve 
|       1800 <= x <        1860;  y_20         =   65.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|       1890 <= x <        1950;  y_21         =   66.0000 +     0.0167x     1.9667x^2    -1.8833x_3 ; Bezier Curve 
|       1980 <= x <        2040;  y_22         =   64.0000 +    -0.8333x     1.9667x^2    -1.0333x_3 ; Bezier Curve 
|       2070 <= x <        2130;  y_23         =   66.0000 +    -4.9000x    11.8000x^2    -6.3000x_3 ; Bezier Curve 
|       2160 <= x <        2220;  y_24         =   28.0000 +   -26.6500x    53.1000x^2   -23.7500x_3 ; Bezier Curve 
